"DEMOC"	"ETHFRACT"	"GEOCON"	"POLDIS"	"NATPRIDE"	"PROTEST"
"GreeksAlbania"	0.41	0.08	0.95	0.88	0.77	0.47
"LezginsAzerbaijan"	0.06	0.14	0.35	0.05	0.88	0.7
"RussiansAzerbaijan"	0.06	0.14	0.35	0.24	0.91	0.03
"PolesBelarus"	0.1	0.32	0.78	0.37	0.8	0.03
"RussiansBelarus"	0.1	0.32	0.35	0.05	0.6	0.03
"CroatsBosnia"	0.13	0.86	0.78	0.05	0.66	0.27
"MuslimsBosnia"	0.13	0.86	0.78	0.05	0.96	0.15
"SerbsBosnia"	0.13	0.86	0.78	0.05	0.87	0.44
"TurksBulgaria"	0.87	0.23	0.78	0.05	0.7	0.47
"RomaBulgaria"	0.87	0.23	0.05	0.95	0.83	0.36
"RussiansEstonia"	0.82	0.54	0.78	0.8	0.54	0.79
"RussiansGeorgia"	0.35	0.49	0.35	0.11	0.93	0.33
"SardiniansItaly"	0.96	0.06	0.95	0.05	0.86	0.02
"SouthTyrolians"	0.96	0.06	0.95	0.05	0.75	0.36
"RussiansLatvia"	0.88	0.72	0.35	0.92	0.29	0.85
"AlbaniansFYROM"	0.56	0.59	0.95	0.58	0.25	0.85
"SerbsFYROM"	0.56	0.59	0.78	0.05	0.87	0.57
"RomaFYROM"	0.56	0.59	0.35	0.69	0.95	0.09
"GagauzMoldova"	0.49	0.54	0.95	0.65	0.6	0.73
"SlavsMoldova"	0.49	0.54	0.35	0.05	0.51	0.56
"HungariansRom"	0.7	0.23	0.95	0.83	0.62	0.59
"BasquesSpain"	0.96	0.51	0.95	0.05	0.38	0.93
"CatalansSpain"	0.96	0.51	0.95	0.05	0.86	0.56
"CatholicsNIreland"	0.96	0.26	0.95	0.58	0.75	0.89
"ScotsUK"	0.96	0.26	0.95	0.05	0.88	0.36
"CrimRussiansUkr"	0.49	0.39	0.95	0.05	0.06	0.89
"RussiansUkraine"	0.49	0.39	0.95	0.05	0.34	0.52
"HungariansYugo"	0.12	0.95	0.95	0.95	0.43	0.85
"KosovoAlbanians"	0.12	0.95	0.95	0.92	0.41	0.98
