"CAN"	"BC"	"SP"	"PH"	"PR"	"CH"	"AS"	"LI"	"HS"	"LC"	"TS"	"CVD"	"SC"	"PC"	"MP"	"GL"	"BA"	"IM"
"01"	1	1	NA	1	0	1	0	0	1	0	0	1	1	1	0	1	0	1
"02"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
"03"	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0
"04"	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0
"05"	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0
"06"	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1
"07"	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1
"08"	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	0
"09"	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1
"10"	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	1
"11"	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1
"12"	1	1	1	0	1	1	0	0	1	0	0	1	NA	1	1	0	1	0
"13"	0	0	1	1	1	1	1	0	0	1	0	1	0	0	NA	0	1	0
"14"	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1
"15"	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0
"16"	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0
"17"	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0
"18"	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0
"19"	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0
"20"	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0
"21"	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
"22"	0	0	0	1	1	0	0	0	0	0	0	0	NA	0	0	1	0	0
"23"	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1
"24"	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	1	1	0
"25"	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1
"26"	0	1	1	1	NA	1	0	1	0	0	0	0	0	0	0	0	1	0
"27"	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0
