"AU"	"EM"	"SP"	"CO"	"CI"	"PO"	"RE"	"CN"	"DE"
"EMacg1"	0.6	0.8	1	1	0	1	1	0.7	1
"EMacg2"	1	0.8	1	1	0.2	0.2	0.6	0.2	0.7
"EMacg3"	1	0.8	1	1	0.2	1	0.6	0.2	1
"EMacg4"	1	0.6	1	1	0.2	1	0.8	0.2	0.9
"EMacg5"	0.8	0.8	1	1	0	0	0.6	0.2	0.4
"EMacg6"	1	0.8	1	1	0.2	1	0.2	0.2	0.7
"EMacg7"	1	0.6	1	1	0	0	0.2	0.2	1
"EMacto1"	0	0.4	0.4	0.4	1	1	0.6	0.8	0.9
"EMacto2"	0	0.4	0.4	0.2	1	0	1	0.8	0.9
"EMacosa1"	0.2	0.4	0.4	0	1	0	0.6	0.3	0.4
"EMacosa2"	0.2	0.4	0.4	0.4	1	0	1	0.4	0.8
"EMacosa3"	0.4	0.4	0.4	0	1	0	1	0.2	0.8
"EMacat1"	0.2	0.4	0.4	0.2	1	0	0.4	0.1	0.4
"EMacat2"	0.2	0.4	0.4	0.4	1	0	0.4	0.8	0.6
"ENacg1"	1	1	1	1	0	0.2	1	0	1
"ENacg2"	0.4	1	0.6	1	0.2	0.2	0.4	0	0.1
"ENacg3"	0.8	1	0.8	1	0.2	0.8	0.6	0	0.9
"ENacg4"	1	1	0.6	1	0.2	1	1	0	1
"ENacg5"	0.4	1	0.4	1	0	0	0.4	0	0.2
"ENacg6"	0.6	1	0.6	1	0.2	0.8	0.2	0	0.7
"ENacg7"	1	0.4	1	1	0	0	0.2	0.6	0.8
"ENacg8"	1	1	1	0	0	0	1	0.1	0.7
"ENacto1"	0.4	0.4	0.4	0.6	1	0	0.6	0.7	0.9
"ENacto2"	0.4	0.4	0.4	0.2	1	0.8	1	0.7	0.9
"ENacosa1"	0.4	0.2	0.4	0.2	1	0	0.6	0.9	0.7
"ENacosa2"	0.2	0.4	0.4	0.4	1	0	1	0.4	0.8
"ENacosa3"	0.6	0.4	0.4	0	1	0	0.8	0.3	0.9
"ENacat1"	0.2	0.4	0.4	0.2	1	0	0.4	0.1	0.2
"ENacat2"	0.6	0.4	0.4	0.4	0.8	0	0.6	0.9	0.6
"ENacat3"	0.4	0.4	0.4	0	1	0	0.4	0.3	0.6
