"C"	"F"	"T"	"V"	"PB"
"Angola"	0	2	1	1	1
"Benin"	1	2	1	0	1
"Botswana"	0	0	0	0	0
"BurkinaFaso"	1	2	2	0	1
"Burundi"	0	2	2	1	1
"CAR"	1	1	2	0	1
"Cameroon"	1	1	2	0	1
"CapeVerde"	0	2	2	0	1
"Chad"	1	2	2	0	1
"Comores"	1	2	2	0	1
"CongoDR"	0	2	2	1	1
"Congo"	1	2	1	1	1
"CotedIvoire"	1	1	2	0	1
"Djibouti"	1	2	2	0	1
"EquatorialGuinea"	0	2	2	0	1
"Eritrea"	0	2	2	0	1
"Ethiopia"	0	2	2	1	1
"Gabon"	1	2	2	0	1
"Gambia"	2	0	2	0	1
"Ghana"	2	2	2	0	1
"GuineaBisseau"	0	2	2	0	1
"Guinea"	1	2	2	0	1
"Kenya"	2	1	2	1	0
"Lesotho"	2	2	2	0	1
"Liberia"	0	2	2	0	1
"Madagascar"	1	1	1	0	1
"Malawi"	2	1	1	0	1
"Mali"	1	1	1	1	1
"Mauritania"	1	2	2	0	1
"Mauritius"	0	0	0	0	0
"Mozambique"	0	2	1	0	1
"Namibia"	2	0	1	0	1
"Nigeria"	2	1	2	1	1
"Niger"	1	2	1	0	1
"Rwanda"	0	1	2	1	1
"SaoTomePrin"	0	1	2	0	1
"Senegal"	1	0	0	0	1
"Seychelles"	0	1	2	0	1
"SierraLeone"	2	1	2	0	1
"Somalia"	0	2	2	0	1
"SouthAfrica"	0	0	1	1	0
"Sudan"	2	2	2	1	1
"Swaziland"	2	2	2	0	1
"Tanzania"	2	1	2	1	1
"Togo"	1	1	2	0	1
"Uganda"	2	2	2	1	1
"Zambia"	2	1	2	1	0
"Zimbabwe"	0	0	0	1	0
