"FED"	"FIN"	"URB"	"GER"	"HIS"	"COO"	"PRO"	"DIS"	"EXP"	"ACC"
"Lung"	2	1	0	1	0	1	0	0	0	1
"Pfyn"	1	1	0	1	1	1	1	1	1	1
"Sol1"	0	1	1	1	1	1	1	1	1	1
"Sol2"	0	1	1	1	1	1	1	1	1	1
"ZurW"	1	1	1	1	0	0	1	1	1	1
"TrB1"	1	1	1	1	0	0	1	1	0	0
"TrB2"	1	0	1	1	1	1	1	0	0	0
"GrB1"	1	1	1	1	0	0	1	0	0	0
"GrB2"	1	0	1	1	1	1	1	1	0	1
"Loet"	2	0	0	1	0	1	1	1	0	1
"Loca"	1	1	1	0	1	0	1	0	0	0
"Wabr"	1	0	1	1	0	1	1	0	1	1
"Lau1"	0	0	1	0	1	1	1	1	1	0
"Lau2"	0	1	1	0	1	0	1	0	0	1
"Gene"	1	1	1	0	1	1	1	1	0	1
"Gamp"	1	0	0	1	1	0	1	0	1	0
"Clos"	1	1	0	1	1	0	1	0	0	1
"Delm"	1	0	1	0	1	1	0	0	1	0
"TtGe"	1	0	1	0	1	0	1	0	0	0
"Wagn"	1	1	0	1	0	0	1	0	0	0
"Badn"	1	1	1	1	1	1	1	1	1	1
